G1 unweighted
16 1
17 1
18 1
19 1
20 1
21 1
22 1
28 1
32 1
38 1
74 1
6 2
7 2
9 2
10 2
13 2
15 2
16 2
17 2
18 2
19 2
20 2
21 2
22 2
28 2
30 2
31 2
32 2
34 2
35 2
36 2
38 2
39 2
49 2
51 2
53 2
72 2
74 2
2 3
4 3
5 3
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 3
24 3
28 3
30 3
31 3
32 3
34 3
35 3
36 3
38 3
39 3
40 3
49 3
51 3
52 3
53 3
72 3
74 3
2 4
3 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 4
17 4
18 4
19 4
20 4
21 4
22 4
24 4
28 4
30 4
31 4
32 4
34 4
35 4
36 4
38 4
39 4
40 4
49 4
51 4
52 4
53 4
72 4
74 4
2 5
3 5
4 5
6 5
7 5
8 5
9 5
10 5
11 5
12 5
13 5
14 5
15 5
16 5
17 5
18 5
19 5
20 5
21 5
22 5
24 5
28 5
30 5
31 5
32 5
34 5
35 5
36 5
38 5
39 5
40 5
49 5
51 5
52 5
53 5
72 5
74 5
2 6
3 6
4 6
5 6
7 6
8 6
9 6
10 6
11 6
12 6
13 6
14 6
15 6
16 6
17 6
18 6
19 6
20 6
21 6
22 6
24 6
28 6
30 6
31 6
32 6
34 6
35 6
36 6
38 6
39 6
40 6
49 6
51 6
52 6
53 6
72 6
74 6
2 7
3 7
4 7
5 7
6 7
8 7
9 7
10 7
11 7
12 7
13 7
14 7
15 7
16 7
17 7
18 7
19 7
20 7
21 7
22 7
24 7
28 7
30 7
31 7
32 7
34 7
35 7
36 7
38 7
39 7
40 7
49 7
51 7
52 7
53 7
72 7
74 7
2 8
3 8
4 8
5 8
6 8
7 8
9 8
10 8
11 8
12 8
13 8
14 8
15 8
16 8
17 8
18 8
19 8
20 8
21 8
22 8
24 8
28 8
30 8
31 8
32 8
34 8
35 8
36 8
38 8
39 8
40 8
49 8
51 8
52 8
53 8
72 8
74 8
